packet_id,timestamp,dpid,in_port,eth_src,eth_dst,protocol,src_ip,dst_ip,src_port,dst_port,ttl,packet_len,tcp_flags,icmp_type,icmp_code,arp_opcode,arp_src_ip,arp_dst_ip,info
1,2026-04-18T10:14:11.141,0000000000000001,2,22:6d:8b:21:fc:73,33:33:00:00:00:fb,IPv6,fe80::206d:8bff:fe21:fc73,ff02::fb,,,,213,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
2,2026-04-18T10:14:11.144,0000000000000001,1,b2:31:3e:86:00:10,33:33:00:00:00:fb,IPv6,fe80::b031:3eff:fe86:10,ff02::fb,,,,213,,,,,,,IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
3,2026-04-18T10:14:11.147,0000000000000004,4,22:6d:8b:21:fc:73,33:33:00:00:00:fb,IPv6,fe80::206d:8bff:fe21:fc73,ff02::fb,,,,213,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
4,2026-04-18T10:14:11.150,0000000000000002,4,22:6d:8b:21:fc:73,33:33:00:00:00:fb,IPv6,fe80::206d:8bff:fe21:fc73,ff02::fb,,,,213,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
5,2026-04-18T10:14:11.187,0000000000000004,4,b2:31:3e:86:00:10,33:33:00:00:00:fb,IPv6,fe80::b031:3eff:fe86:10,ff02::fb,,,,213,,,,,,,IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
6,2026-04-18T10:14:11.193,0000000000000003,4,b2:31:3e:86:00:10,33:33:00:00:00:fb,IPv6,fe80::b031:3eff:fe86:10,ff02::fb,,,,213,,,,,,,IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
7,2026-04-18T10:14:11.200,0000000000000002,4,ee:eb:cf:53:fe:72,33:33:00:00:00:16,IPv6,fe80::eceb:cfff:fe53:fe72,ff02::16,,,,90,,,,,,,IPv6 fe80::eceb:cfff:fe53:fe72 → ff02::16
8,2026-04-18T10:14:11.207,0000000000000002,4,ee:eb:cf:53:fe:72,33:33:00:00:00:fb,IPv6,fe80::eceb:cfff:fe53:fe72,ff02::fb,,,,107,,,,,,,IPv6 fe80::eceb:cfff:fe53:fe72 → ff02::fb
9,2026-04-18T10:14:11.228,0000000000000003,3,00:00:00:00:00:06,33:33:ff:00:00:06,IPv6,::,ff02::1:ff00:6,,,,86,,,,,,,IPv6 :: → ff02::1:ff00:6
10,2026-04-18T10:14:11.234,0000000000000001,2,00:00:00:00:00:06,33:33:ff:00:00:06,IPv6,::,ff02::1:ff00:6,,,,86,,,,,,,IPv6 :: → ff02::1:ff00:6
11,2026-04-18T10:14:11.237,0000000000000004,4,00:00:00:00:00:06,33:33:ff:00:00:06,IPv6,::,ff02::1:ff00:6,,,,86,,,,,,,IPv6 :: → ff02::1:ff00:6
12,2026-04-18T10:14:11.242,0000000000000002,4,00:00:00:00:00:06,33:33:ff:00:00:06,IPv6,::,ff02::1:ff00:6,,,,86,,,,,,,IPv6 :: → ff02::1:ff00:6
13,2026-04-18T10:14:11.263,0000000000000003,4,0a:6f:67:08:36:31,33:33:00:00:00:16,IPv6,fe80::86f:67ff:fe08:3631,ff02::16,,,,90,,,,,,,IPv6 fe80::86f:67ff:fe08:3631 → ff02::16
14,2026-04-18T10:14:11.328,0000000000000003,4,0a:6f:67:08:36:31,33:33:00:00:00:fb,IPv6,fe80::86f:67ff:fe08:3631,ff02::fb,,,,213,,,,,,,IPv6 fe80::86f:67ff:fe08:3631 → ff02::fb
15,2026-04-18T10:14:11.334,0000000000000002,4,ee:eb:cf:53:fe:72,33:33:00:00:00:fb,IPv6,fe80::eceb:cfff:fe53:fe72,ff02::fb,,,,213,,,,,,,IPv6 fe80::eceb:cfff:fe53:fe72 → ff02::fb
16,2026-04-18T10:14:11.354,0000000000000002,3,00:00:00:00:00:03,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
17,2026-04-18T10:14:11.360,0000000000000003,2,00:00:00:00:00:05,33:33:ff:00:00:05,IPv6,::,ff02::1:ff00:5,,,,86,,,,,,,IPv6 :: → ff02::1:ff00:5
18,2026-04-18T10:14:11.364,0000000000000001,1,00:00:00:00:00:03,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
19,2026-04-18T10:14:11.368,0000000000000001,2,00:00:00:00:00:05,33:33:ff:00:00:05,IPv6,::,ff02::1:ff00:5,,,,86,,,,,,,IPv6 :: → ff02::1:ff00:5
20,2026-04-18T10:14:11.371,0000000000000004,4,00:00:00:00:00:03,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
21,2026-04-18T10:14:11.381,0000000000000004,4,00:00:00:00:00:05,33:33:ff:00:00:05,IPv6,::,ff02::1:ff00:5,,,,86,,,,,,,IPv6 :: → ff02::1:ff00:5
22,2026-04-18T10:14:11.387,0000000000000003,4,00:00:00:00:00:03,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
23,2026-04-18T10:14:11.393,0000000000000002,4,00:00:00:00:00:05,33:33:ff:00:00:05,IPv6,::,ff02::1:ff00:5,,,,86,,,,,,,IPv6 :: → ff02::1:ff00:5
24,2026-04-18T10:14:11.397,0000000000000001,2,22:6d:8b:21:fc:73,33:33:00:00:00:fb,IPv6,fe80::206d:8bff:fe21:fc73,ff02::fb,,,,213,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
25,2026-04-18T10:14:11.399,0000000000000001,1,b2:31:3e:86:00:10,33:33:00:00:00:fb,IPv6,fe80::b031:3eff:fe86:10,ff02::fb,,,,213,,,,,,,IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
26,2026-04-18T10:14:11.401,0000000000000004,4,22:6d:8b:21:fc:73,33:33:00:00:00:fb,IPv6,fe80::206d:8bff:fe21:fc73,ff02::fb,,,,213,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
27,2026-04-18T10:14:11.402,0000000000000002,4,22:6d:8b:21:fc:73,33:33:00:00:00:fb,IPv6,fe80::206d:8bff:fe21:fc73,ff02::fb,,,,213,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
28,2026-04-18T10:14:11.441,0000000000000003,4,b2:31:3e:86:00:10,33:33:00:00:00:fb,IPv6,fe80::b031:3eff:fe86:10,ff02::fb,,,,213,,,,,,,IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
29,2026-04-18T10:14:11.444,0000000000000004,4,b2:31:3e:86:00:10,33:33:00:00:00:fb,IPv6,fe80::b031:3eff:fe86:10,ff02::fb,,,,213,,,,,,,IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
30,2026-04-18T10:14:11.482,0000000000000004,2,00:00:00:00:00:08,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
31,2026-04-18T10:14:11.485,0000000000000004,3,00:00:00:00:00:09,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
32,2026-04-18T10:14:11.492,0000000000000001,3,00:00:00:00:00:08,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
33,2026-04-18T10:14:11.495,0000000000000003,4,00:00:00:00:00:08,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
34,2026-04-18T10:14:11.498,0000000000000002,4,00:00:00:00:00:08,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
35,2026-04-18T10:14:11.527,0000000000000001,3,00:00:00:00:00:09,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
36,2026-04-18T10:14:11.537,0000000000000003,4,00:00:00:00:00:09,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
37,2026-04-18T10:14:11.543,0000000000000002,4,00:00:00:00:00:09,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
38,2026-04-18T10:14:11.547,0000000000000004,1,00:00:00:00:00:07,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
39,2026-04-18T10:14:11.553,0000000000000001,2,22:6d:8b:21:fc:73,33:33:00:00:00:16,IPv6,fe80::206d:8bff:fe21:fc73,ff02::16,,,,90,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::16
40,2026-04-18T10:14:11.562,0000000000000001,3,4e:28:dc:1e:4c:40,33:33:00:00:00:16,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::16,,,,90,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
41,2026-04-18T10:14:11.566,0000000000000001,3,4e:28:dc:1e:4c:40,33:33:00:00:00:02,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::2,,,,70,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::2
42,2026-04-18T10:14:11.567,0000000000000001,3,4e:28:dc:1e:4c:40,33:33:00:00:00:16,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::16,,,,90,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
43,2026-04-18T10:14:11.575,0000000000000004,4,22:6d:8b:21:fc:73,33:33:00:00:00:16,IPv6,fe80::206d:8bff:fe21:fc73,ff02::16,,,,90,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::16
44,2026-04-18T10:14:11.577,0000000000000001,3,00:00:00:00:00:07,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
45,2026-04-18T10:14:11.585,0000000000000001,3,4e:28:dc:1e:4c:40,33:33:00:00:00:16,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::16,,,,90,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
46,2026-04-18T10:14:11.589,0000000000000003,4,4e:28:dc:1e:4c:40,33:33:00:00:00:16,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::16,,,,90,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
47,2026-04-18T10:14:11.592,0000000000000003,4,4e:28:dc:1e:4c:40,33:33:00:00:00:02,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::2,,,,70,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::2
48,2026-04-18T10:14:11.595,0000000000000003,4,0a:6f:67:08:36:31,33:33:00:00:00:fb,IPv6,fe80::86f:67ff:fe08:3631,ff02::fb,,,,213,,,,,,,IPv6 fe80::86f:67ff:fe08:3631 → ff02::fb
49,2026-04-18T10:14:11.598,0000000000000002,4,22:6d:8b:21:fc:73,33:33:00:00:00:16,IPv6,fe80::206d:8bff:fe21:fc73,ff02::16,,,,90,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::16
50,2026-04-18T10:14:11.601,0000000000000002,4,4e:28:dc:1e:4c:40,33:33:00:00:00:16,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::16,,,,90,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
51,2026-04-18T10:14:11.603,0000000000000002,4,4e:28:dc:1e:4c:40,33:33:00:00:00:02,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::2,,,,70,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::2
52,2026-04-18T10:14:11.608,0000000000000002,4,ee:eb:cf:53:fe:72,33:33:00:00:00:fb,IPv6,fe80::eceb:cfff:fe53:fe72,ff02::fb,,,,213,,,,,,,IPv6 fe80::eceb:cfff:fe53:fe72 → ff02::fb
53,2026-04-18T10:14:11.616,0000000000000003,3,00:00:00:00:00:06,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
54,2026-04-18T10:14:11.622,0000000000000003,4,4e:28:dc:1e:4c:40,33:33:00:00:00:16,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::16,,,,90,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
55,2026-04-18T10:14:11.624,0000000000000003,4,00:00:00:00:00:07,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
56,2026-04-18T10:14:11.628,0000000000000003,4,4e:28:dc:1e:4c:40,33:33:00:00:00:16,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::16,,,,90,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
57,2026-04-18T10:14:11.634,0000000000000002,4,4e:28:dc:1e:4c:40,33:33:00:00:00:16,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::16,,,,90,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
58,2026-04-18T10:14:11.636,0000000000000002,4,00:00:00:00:00:07,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
59,2026-04-18T10:14:11.638,0000000000000002,4,4e:28:dc:1e:4c:40,33:33:00:00:00:16,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::16,,,,90,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
60,2026-04-18T10:14:11.640,0000000000000001,2,00:00:00:00:00:06,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
61,2026-04-18T10:14:11.644,0000000000000004,4,00:00:00:00:00:06,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
62,2026-04-18T10:14:11.651,0000000000000001,2,22:6d:8b:21:fc:73,33:33:00:00:00:fb,IPv6,fe80::206d:8bff:fe21:fc73,ff02::fb,,,,213,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
63,2026-04-18T10:14:11.654,0000000000000001,1,b2:31:3e:86:00:10,33:33:00:00:00:fb,IPv6,fe80::b031:3eff:fe86:10,ff02::fb,,,,213,,,,,,,IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
64,2026-04-18T10:14:11.658,0000000000000001,3,4e:28:dc:1e:4c:40,33:33:00:00:00:fb,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::fb,,,,107,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::fb
65,2026-04-18T10:14:11.663,0000000000000002,4,00:00:00:00:00:06,33:33:00:00:00:16,IPv6,::,ff02::16,,,,110,,,,,,,IPv6 :: → ff02::16
66,2026-04-18T10:14:11.671,0000000000000002,4,22:6d:8b:21:fc:73,33:33:00:00:00:fb,IPv6,fe80::206d:8bff:fe21:fc73,ff02::fb,,,,213,,,,,,,IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
