[2026-04-18T10:14:11.141] PKT #0001 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 2 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.144] PKT #0002 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 1 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.147] PKT #0003 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.150] PKT #0004 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.187] PKT #0005 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.193] PKT #0006 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.200] PKT #0007 | Proto: IPv6   | Src: fe80::eceb:cfff:fe53:fe72: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::eceb:cfff:fe53:fe72 → ff02::16
[2026-04-18T10:14:11.207] PKT #0008 | Proto: IPv6   | Src: fe80::eceb:cfff:fe53:fe72: | Dst: ff02::fb: | Len: 107 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::eceb:cfff:fe53:fe72 → ff02::fb
[2026-04-18T10:14:11.228] PKT #0009 | Proto: IPv6   | Src: ::: | Dst: ff02::1:ff00:6: | Len: 86 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 3 | IPv6 :: → ff02::1:ff00:6
[2026-04-18T10:14:11.234] PKT #0010 | Proto: IPv6   | Src: ::: | Dst: ff02::1:ff00:6: | Len: 86 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 2 | IPv6 :: → ff02::1:ff00:6
[2026-04-18T10:14:11.237] PKT #0011 | Proto: IPv6   | Src: ::: | Dst: ff02::1:ff00:6: | Len: 86 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 :: → ff02::1:ff00:6
[2026-04-18T10:14:11.242] PKT #0012 | Proto: IPv6   | Src: ::: | Dst: ff02::1:ff00:6: | Len: 86 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 :: → ff02::1:ff00:6
[2026-04-18T10:14:11.263] PKT #0013 | Proto: IPv6   | Src: fe80::86f:67ff:fe08:3631: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::86f:67ff:fe08:3631 → ff02::16
[2026-04-18T10:14:11.328] PKT #0014 | Proto: IPv6   | Src: fe80::86f:67ff:fe08:3631: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::86f:67ff:fe08:3631 → ff02::fb
[2026-04-18T10:14:11.334] PKT #0015 | Proto: IPv6   | Src: fe80::eceb:cfff:fe53:fe72: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::eceb:cfff:fe53:fe72 → ff02::fb
[2026-04-18T10:14:11.354] PKT #0016 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 3 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.360] PKT #0017 | Proto: IPv6   | Src: ::: | Dst: ff02::1:ff00:5: | Len: 86 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 2 | IPv6 :: → ff02::1:ff00:5
[2026-04-18T10:14:11.364] PKT #0018 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 1 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.368] PKT #0019 | Proto: IPv6   | Src: ::: | Dst: ff02::1:ff00:5: | Len: 86 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 2 | IPv6 :: → ff02::1:ff00:5
[2026-04-18T10:14:11.371] PKT #0020 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.381] PKT #0021 | Proto: IPv6   | Src: ::: | Dst: ff02::1:ff00:5: | Len: 86 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 :: → ff02::1:ff00:5
[2026-04-18T10:14:11.387] PKT #0022 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.393] PKT #0023 | Proto: IPv6   | Src: ::: | Dst: ff02::1:ff00:5: | Len: 86 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 :: → ff02::1:ff00:5
[2026-04-18T10:14:11.397] PKT #0024 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 2 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.399] PKT #0025 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 1 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.401] PKT #0026 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.402] PKT #0027 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.441] PKT #0028 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.444] PKT #0029 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.482] PKT #0030 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 2 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.485] PKT #0031 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 3 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.492] PKT #0032 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 3 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.495] PKT #0033 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.498] PKT #0034 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.527] PKT #0035 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 3 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.537] PKT #0036 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.543] PKT #0037 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.547] PKT #0038 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 1 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.553] PKT #0039 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 2 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::16
[2026-04-18T10:14:11.562] PKT #0040 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 3 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
[2026-04-18T10:14:11.566] PKT #0041 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::2: | Len: 70 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 3 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::2
[2026-04-18T10:14:11.567] PKT #0042 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 3 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
[2026-04-18T10:14:11.575] PKT #0043 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::16
[2026-04-18T10:14:11.577] PKT #0044 | Proto: IPv6   | Src: ::: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 3 | IPv6 :: → ff02::16
[2026-04-18T10:14:11.585] PKT #0045 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 3 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
[2026-04-18T10:14:11.589] PKT #0046 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::16
[2026-04-18T10:14:11.592] PKT #0047 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::2: | Len: 70 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::2
[2026-04-18T10:14:11.595] PKT #0048 | Proto: IPv6   | Src: fe80::86f:67ff:fe08:3631: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::86f:67ff:fe08:3631 → ff02::fb
